"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"FoTheWin",1.83,5.40,6.30,6.10,0,4,6,0,0,60,9, 23, 108, 10, 1, 12,5,6,45, 150227, 207035, 37816, 51.05, 109461,1557.8
"Nex",3.35,4.30,4.30,10.10,0,1,5,2,2,40,15, 45, 133, 7, 0, 14,3,6,58, 157916, 193480, 45962, 70.55, 117363,1941.6
"MLG Plays",4.32,1.30,3.10,12.10,0,1,0,0,9,30,29, 68, 327, 6, 0, 16,2,3,68, 61599, 112591, 190791, 40.17, 102132,1921.1
"Wo Jiao Xiao E",2.42,2.40,4.50,8.50,0,5,1,0,4,50,16, 48, 149, 8, 2, 12,3,3,53, 109083, 210608, 61478, 65.43, 92334,1626.4
"sF myear",2.71,4.50,4.50,7.70,1,3,0,1,5,40,14, 53, 103, 3, 0, 13,4,2,62, 124666, 223827, 57335, 142.18, 98604,1682
"N04H",1.66,4.00,7.00,7.60,2,5,2,0,1,30,12, 34, 156, 7, 2, 16,4,3,47, 166077, 279371, 75471, 69.52, 112221,1882.7
"BigOneEight",1.91,5.80,5.60,4.90,0,4,0,6,0,40,13, 17, 73, 7, 1, 12,4,3,46, 188711, 223600, 49491, 73.75, 113151,1783
"Oombadu",2.76,4.00,3.80,6.50,9,0,1,0,0,50,2, 15, 100, 4, 1, 12,3,4,55, 200525, 258500, 56384, 116.83, 104777,1650.9
"Ex0h",2.25,6.30,5.60,6.30,1,0,2,6,1,50,4, 26, 81, 11, 1, 11,3,6,53, 201377, 202324, 29873, 71.15, 122262,1836.7
"Lord luck",4.75,2.30,3.20,12.90,1,0,1,0,8,70,42, 89, 216, 2, 0, 13,2,5,58, 92181, 132021, 77537, 49.30, 96354,1735.6
"xHypoxia",2.23,5.20,4.80,5.50,0,0,2,8,0,40,0, 17, 104, 9, 0, 8,2,4,47, 187351, 155360, 20048, 25.25, 111614,1768.1
"labuladuo",2.92,7.20,4.90,7.10,2,3,0,5,0,50,1, 26, 110, 15, 2, 9,3,5,64, 223111, 216343, 59766, 51.48, 126379,1754
"VSG VeryBitter",2.40,0.60,5.20,11.90,0,0,1,0,9,30,34, 90, 326, 7, 0, 9,4,4,57, 54507, 171175, 86009, 71.53, 91824,1755.6
"Morishima Haruka",1.69,2.70,5.40,6.40,9,0,0,1,0,50,20, 17, 111, 6, 2, 12,2,3,45, 161457, 260408, 49591, 120.95, 100103,1653.4
"OmegaB",3.03,2.40,3.40,7.90,8,1,0,1,0,60,29, 35, 119, 7, 1, 18,0,7,47, 136530, 280584, 82953, 119.48, 107553,1826
"Ryuu",4.07,3.50,2.90,8.30,0,0,5,4,1,70,10, 35, 84, 13, 2, 12,2,3,61, 118746, 114561, 15729, 41.60, 93760,1471.6
"Andybendy",1.53,4.40,7.20,6.60,0,2,0,8,0,50,14, 33, 114, 6, 0, 7,6,2,44, 172288, 197450, 38152, 49.12, 109666,1744.6
"Booster Soon",1.96,2.80,4.70,6.40,3,0,7,0,0,20,28, 19, 136, 4, 0, 6,3,2,56, 164963, 177822, 18181, 62.65, 99918,1680.3
"Olvan",3.56,4.50,5.00,13.30,0,10,0,0,0,60,36, 33, 152, 4, 1, 31,5,2,64, 107012, 316485, 70068, 140.03, 108634,1805.7
"Larri",2.19,2.40,5.20,9.00,0,1,4,0,5,40,26, 52, 200, 2, 0, 6,3,4,50, 99291, 166452, 28875, 69.63, 84408,1602.6
"Taeys",2.00,4.40,5.30,6.20,2,1,2,5,0,60,9, 33, 105, 14, 2, 10,5,4,47, 131407, 166322, 27661, 18.15, 107787,1590.8
"TheGreatTax",3.71,4.30,4.20,11.30,5,5,0,0,0,60,21, 40, 192, 5, 1, 11,2,3,64, 157179, 290191, 91977, 134.38, 110217,1830.5
"Misoya",3.10,0.50,4.00,11.90,0,0,0,1,9,40,69, 75, 355, 1, 0, 9,3,3,60, 60228, 177696, 31740, 20.15, 81541,1735.8
"Angelus Mortis",1.81,4.30,5.40,5.50,0,6,4,0,0,30,20, 25, 80, 7, 2, 5,3,3,56, 128327, 214880, 36494, 77.25, 93523,1546.8
"UnspeakableDeath",4.47,4.40,3.40,10.80,1,8,1,0,0,60,14, 37, 96, 11, 3, 19,4,9,55, 128239, 312823, 125248, 116.47, 113680,1810.8
"Hartwig",3.74,6.80,3.80,7.40,1,3,6,0,0,70,18, 45, 110, 18, 4, 15,3,3,60, 189868, 160134, 29133, 78.62, 116260,1663.4
"Ranullf",4.73,2.10,2.60,10.20,0,0,1,0,9,50,17, 59, 191, 4, 2, 12,4,6,61, 79031, 121740, 34791, 29.38, 88028,1607.4
