"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Nightblue3",2.72,5.40,5.00,8.20,0,9,0,0,1,70,27,6,12,4,5,54,132.58,1644.5
"Nexevis",1.83,3.40,5.30,6.30,1,7,1,1,0,20,24,2,10,0,1,52,145.48,1710.9
"TwitchTV LOLFILL",2.74,2.70,4.30,9.10,0,0,2,3,5,40,29,5,12,5,2,56,38.47,1753.8
"Grigne",3.12,7.20,5.00,8.40,0,10,0,0,0,50,19,2,10,7,4,62,103.35,1759.7
"Allorim",5.30,2.40,2.00,8.20,9,0,1,0,0,90,18,9,12,6,4,44,121.37,1585.5
"Qq1035716423me",4.77,1.40,2.20,9.10,0,0,0,3,7,70,36,8,12,6,2,50,15.37,1461.2
"Always Blaming",1.78,4.30,5.90,6.20,2,1,6,0,1,40,24,12,8,3,2,46,67.40,1783.8
"Damonte",2.05,6.50,5.60,5.00,0,1,8,0,1,30,16,9,8,4,1,52,27.90,1769.2
"Never Blaming",2.32,3.80,5.90,9.90,0,10,0,0,0,50,21,5,12,6,8,60,113.37,1773.1
"dT Hoglet",2.26,6.50,6.50,8.20,0,7,1,0,2,30,26,3,15,9,3,60,81.92,1827.9
"REN Freeze",2.86,4.10,3.60,6.20,0,0,0,10,0,50,4,22,11,6,2,46,20.88,1637.8
"Butler Delta",2.40,3.30,4.00,6.30,5,0,5,0,0,40,13,11,7,3,2,60,220.20,1531.9
"LETS GOOOOOOOOOO",2.56,6.00,5.20,7.30,0,0,1,8,1,50,13,13,11,6,6,51,41.47,1826.2
"prohibit",3.60,2.30,3.50,10.30,4,0,1,1,4,50,17,8,14,5,5,55,33.00,1919.6
"Q1035716423",2.11,5.50,5.70,6.50,9,0,0,1,0,40,5,9,19,5,3,53,36.18,1618.6
"iQ1035716423",2.00,8.90,7.80,6.70,2,2,5,1,0,40,23,6,10,1,2,53,56.22,1793.1
"Lohpally",2.05,2.00,6.10,10.50,0,0,3,0,7,30,34,2,12,2,3,52,36.70,1791.2
"Lokeneve",2.72,7.70,5.70,7.80,1,0,0,9,0,80,14,19,16,3,7,58,47.50,1812.5
"KElTHMCBRlEF",2.82,6.00,4.90,7.80,1,0,0,9,0,90,7,20,10,4,5,51,23.17,1650.3
"Liquid Smoothie",3.87,0.80,3.90,14.30,1,0,0,0,9,70,47,5,12,5,5,63,27.48,1666.5
"Pooky Wan Kenobi",3.65,2.10,4.90,15.80,0,1,0,1,8,70,36,3,16,3,4,61,46.98,1892.6
"ZionSpartan",2.98,7.50,4.80,6.80,8,2,0,0,0,50,22,11,10,5,4,56,121.15,1916.6
