SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength
Magikarpolio,1.53,4.8,6.8,5.6,5,0,4,0,1,20,0,12,68,1,1,10,1,5,46,106715,209586,17682,20.95,98896,2038
Lul??,1.45,4.5,7.6,6.5,3,0,6,0,1,60,0,19,113,4,1,15,2,3,34,175166,247365,16549,24.37,114042,2067.3
BosnianxBeast,1.62,7.3,7.4,4.7,5,0,5,0,0,30,0,7,82,12,2,10,0,1,46,225116,252829,29045,28.87,116491,1810.5
Cody Banks,3.56,4.4,4.1,10.2,7,0,3,0,0,50,13,17,104,7,3,13,1,4,48,155887,261405,59626,75.35,121548,2036.5
Waw,1.11,5.5,11,6.7,0,0,3,7,0,20,0,18,80,7,1,12,0,4,42,206904,265955,24872,22.57,123595,2103.7
zJessez,1.84,6.8,6.9,5.9,2,1,1,2,4,30,5,11,145,13,0,17,2,2,45,179075,254464,46695,229.93,118944,2111.3
anaBROLICus,1.98,9.9,9.7,9.3,3,2,3,2,0,50,0,16,110,12,2,23,1,4,52,299318,304778,39151,73.53,141353,2208.3
krushee,2.64,6.1,5.9,9.5,2,2,0,1,5,50,0,4,69,6,1,19,4,3,49,140288,234106,57457,45.43,111714,1953.5
778582,2.11,2.2,7.5,13.6,1,1,0,1,7,40,28,65,254,5,2,19,1,4,48,115957,246974,33382,113.78,106870,2067.4
DoYouEvenVirgin,2.71,2.9,4.1,8.2,0,1,1,0,4,67,3,14,91,4,1,10,0,4,54,86120,181470,67950,60.22,70399,2258.5
Lee Sin er G,2.6,8.8,6,6.8,3,1,6,0,0,50,15,14,65,12,2,15,2,3,47,191834,219828,30705,32.82,138424,2061.8
halla4allah,3.03,5.7,3.8,5.8,2,0,4,3,1,40,9,22,123,12,1,19,1,2,45,172255,160040,22760,32.45,117520,1896.9
Wolfslashfox,2.17,5.7,7,9.5,0,1,0,9,0,40,8,15,114,6,3,23,3,2,45,240481,256030,43404,96.35,134791,2190.8
Phroxin,2.84,6,6.9,13.6,0,2,0,1,7,60,20,46,231,8,1,24,0,3,57,230000,285977,66479,192.53,124489,2033.7
souken cat ,2.18,4.7,5.1,6.4,2,3,1,3,1,30,6,9,63,7,0,8,1,1,50,167321,237007,42390,61.73,113724,1931.1
entarro,3.2,9,5.1,7.3,1,4,1,4,0,40,0,7,87,11,3,17,2,4,56,241053,284530,71170,96.98,142528,1980.7
WillingChase,2.33,6.8,6.4,8.1,6,2,2,0,0,60,0,8,131,6,4,17,0,3,51,302090,300848,51032,121.63,116546,2099.7
Screw this kid,2.68,3.1,5.6,11.9,0,1,2,5,2,60,12,34,199,3,1,18,0,4,49,134001,250011,58214,125.53,113849,2120
ZxPENTAKILLxZ,1.73,7.2,7.5,5.8,2,1,3,2,2,30,3,22,137,9,3,11,6,4,50,215465,218892,51232,33.35,126263,2090.1
stealthyjason,2.66,8.6,6.1,7.6,1,0,7,2,0,60,10,23,88,6,3,12,0,6,55,231492,184897,20643,119.45,135874,1974.5
